Auteur;Identifiant auteur;Titre;Directeur de these;Directeur de these (nom prenom);Identifiant directeur;Etablissement de soutenance;Identifiant etablissement;Discipline;Statut;Date de premiere inscription en doctorat;Date de soutenance;Langue de la these;Identifiant de la these;Accessible en ligne;Publication dans theses.fr;Mise a jour dans theses.fr
Saeed Al marri;;Le credit documentaire et l'onopposabilite des exceptions;Philippe Delebecque;Delebecque Philippe;29561248;Paris 1;27361802;Driot prive;enCours;30-09-2011;;;s69480;non;26-01-2012;26-01-2012
Andrea Ramazzotti;174423705;Application de la PGD a la resolution de problemes transitoires couples en vue de l'allegement des structures composites.;Jean-Claude Grandidier,Marianne Beringhier;Grandidier Jean-Claude,Beringhier Marianne;71544151,1181134;Chasseneuil-du-Poitou, Ecole nationale superieure de mecanique et d'aerotechnique;28024400;Mecanique des solides, des materiaux, des structures et des surfaces;enCours;01-10-2012;;;s98826;non;22-11-2013;22-11-2013
OLIVIER BODENREIDER;;Conception d'un outil informatique d'etude des cinetiques observees en toxicologie clinique;Francois Kohler;Kohler Francois;57030758;Nancy 1;;Medecine;soutenue;;01-01-1993;fr;1993NAN19006;non;24-05-2013;17-11-2012
Emmanuel Porte;;Socio-histoire des politiques publiques en matiere sociale concernant les etudiants.;Gilles Pollet;Pollet Gilles;;Lyon 2;02640334X;Science politique;enCours;01-06-2011;;;s88867;non;12-07-2013;12-01-2016
Arthur Devriendt;;LES TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION ET LES NOUVELLES RURALITES.;Gabriel Dupuy;Dupuy Gabriel;;Paris 1;27361802;Geographie;enCours;07-12-2009;;;s89663;non;13-07-2013;12-07-2013
Elmantsr Briak;;"Integration forcee de l'afrique subsaharienne dans le processus de mondialisation ""structuration des economies"",""destructuration des etats"".";Edmond Jouve;Jouve Edmond;26941848;Paris 5;26404788;Science politique;enCours;01-12-2002;24-11-2008;;s6336;non;26-09-2011;16-11-2011
Jae-hyun Park;;Execution des decisions de justice condamnant l'administration.;Pierre Comte;Comte Pierre;;Saint Etienne;28209966;Droit public;enCours;01-02-2002;01-07-2005;;s8305;non;26-09-2011;02-02-2012
Laurent david Benoiton;;Les effets des arrets de la Cour europeenne des droits de lhomme sur les contentieux administratifs nationaux. Essai sur la standardisation des droits europeens;Laurent Sermet;Sermet Laurent;34508287;La Reunion;26404451;Droit public;enCours;01-10-2003;08-12-2009;;s11271;non;26-09-2011;26-04-2012
Jennifer Guiraud (McKELLIPS);;L'autobiographie sans frontieres : espace et deconstruction de l'identite dans les oeuvres de Colette, Nathalie Sarraute et Helene Cixous.;Anne-Emmanuelle Berger;Berger Anne-Emmanuelle;32574088;Paris 8;26403552;Etudes de genre;enCours;01-11-2003;10-01-2013;;s11354;non;26-09-2011;04-04-2016
Nathalie Warcholak (David);;Interoperabilite et droits du marche.;Jean-Pierre Clavier;Clavier Jean-Pierre;35557060;Nantes;26403447;Droit prive;enCours;01-12-2002;24-06-2011;;s9544;non;26-09-2011;05-04-2016
Scheherazade Pinilla canadas;;Les cites reapparaissantes: L'heroisme du grand nombre chez Balzac et Galdos;Patrice Vermeren;Vermeren Patrice;28251873;Paris 8;26403552;Philosophie (metaphysique, epistemologie, esthetique);enCours;01-03-2003;26-11-2010;;s11451;non;26-09-2011;02-04-2012
Vladimir Arneuve;;Droit de la consommation et responsabilites;Jerome Julien;Julien Jerome;;Toulouse 1;26404354;Droit prive;enCours;27-10-2010;;;s19864;non;26-09-2011;22-01-2015
Tijani Aoulad el mokadem;;Les salaries dans les groupes de societes;Deen Gibirila;Gibirila Deen;33883238;Toulouse 1;26404354;Droit prive;enCours;03-01-2011;;;s19876;non;26-09-2011;22-01-2015
Ahmad Abbas;;La turquie et le moyen-orient depuis 1918 : etude juridique et diplomatique;Danielle Cabanis;Cabanis Danielle;;Toulouse 1;26404354;Histoire du droit et des institutions;enCours;25-11-2010;;;s19884;non;26-09-2011;22-01-2015
Luc Verrier;;Les figures de la colere dans la fiction de Martin Amis;Jean-Michel Ganteau;Ganteau Jean-Michel;58596852;Montpellier 3;26404702;Etudes anglophones;enCours;01-03-2003;20-12-2007;;s7807;non;26-09-2011;05-04-2016
Mariela cecilia Avila;;L'analyse de la notion de camp chez giorgio agamben discussion et perspectives philosophie politique;Patrice Vermeren;Vermeren Patrice;28251873;Paris 8;26403552;Philosophie (metaphysique, epistemologie, esthetique);enCours;24-09-2010;31-08-2012;;s19963;non;26-09-2011;04-04-2016
Mohammed Al khateeb;;Etude sociologique des representations vehiculees par la chaine arabe de television al-jazeera;Serge Regourd,Bernard Boene;Regourd Serge,Boene Bernard;27093115;Toulouse 1;26404354;Science politique;enCours;10-02-2011;;;s20014;non;26-09-2011;22-01-2015
